id,local_id,session_id,id_ayam,berat,created_at
0001282a-520e-4024-abe2-710b6e4761d5,133,1d5f21f0-4306-46e8-ace6-161e4a180c40,110,1365,2026-04-27 07:11:38.072+00
01166bfc-2e0d-4f08-9053-d218c4bb6607,539,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,132,1340,2026-05-10 07:16:55.924+00
0234d043-5e73-4f15-9d62-ad8161c694f3,365,3e7a01fd-383d-496d-b2d2-73e2d499f25a,150,1485,2026-05-02 07:22:14.661+00
027219b1-9221-40bf-9fde-c91ca0834ea2,320,3e7a01fd-383d-496d-b2d2-73e2d499f25a,105,1310,2026-05-02 07:11:34.912+00
03fade79-56bf-4495-9d45-ad4fc066edae,138,1d5f21f0-4306-46e8-ace6-161e4a180c40,115,1410,2026-04-27 07:12:44.053+00
04b469ea-9634-4403-bdd3-ddd090fca7ae,207,1d5f21f0-4306-46e8-ace6-161e4a180c40,184,1380,2026-04-27 07:26:54.312+00
04d9404d-f52e-491e-b7f1-4a99517aadd6,560,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,153,1420,2026-05-10 07:20:30.184+00
05b73527-27aa-4e6d-a367-3671bda14de1,528,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,121,1575,2026-05-10 07:14:51.75+00
05ea613b-57c2-4771-9273-1d4e64cdf3e4,502,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,95,1500,2026-05-10 07:08:47.146+00
065e2566-3d17-4952-8fd8-7991e9fc49b0,202,1d5f21f0-4306-46e8-ace6-161e4a180c40,179,1420,2026-04-27 07:26:08.33+00
0756e599-6055-4f41-aec5-dc487f939c47,579,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,172,1485,2026-05-10 07:23:35.224+00
07af6034-2daa-439f-a54c-a2e042e80e30,249,3e7a01fd-383d-496d-b2d2-73e2d499f25a,34,1385,2026-05-02 06:53:13.362+00
07d5cbcb-43c0-41eb-8dcc-64665cf211c0,62,1d5f21f0-4306-46e8-ace6-161e4a180c40,39,1290,2026-04-27 06:57:55.103+00
084dce05-9321-4761-92b3-7c27e02605ad,321,3e7a01fd-383d-496d-b2d2-73e2d499f25a,106,1345,2026-05-02 07:11:44.764+00
08592b86-e5aa-4fef-aac8-7f2749b74931,117,1d5f21f0-4306-46e8-ace6-161e4a180c40,94,1295,2026-04-27 07:08:14.923+00
08a5a0b5-601c-4e99-8cf8-f94d88cab84c,91,1d5f21f0-4306-46e8-ace6-161e4a180c40,68,1470,2026-04-27 07:03:13.957+00
09004089-3af2-4d02-bbe0-53c618be1808,212,1d5f21f0-4306-46e8-ace6-161e4a180c40,189,1230,2026-04-27 07:27:33.424+00
097f88a6-d07f-432a-adba-9320a9f3d2f8,438,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,31,1490,2026-05-10 06:54:26.352+00
09ca8b36-c776-420f-815b-a4f8a5b362d0,378,3e7a01fd-383d-496d-b2d2-73e2d499f25a,163,1345,2026-05-02 07:25:20.333+00
09d1f551-80d1-4f25-bbfc-77ad6996b221,594,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,187,1480,2026-05-10 07:26:43.592+00
0a88f1d3-59ca-4e37-bb64-e6b0c0f825c6,217,3e7a01fd-383d-496d-b2d2-73e2d499f25a,2,1540,2026-05-02 06:43:42.991+00
0b0418a1-94a1-4a50-8666-165e7f718155,476,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,69,1540,2026-05-10 07:03:37.302+00
0c35a345-642e-4a05-a084-2986dc7ee4ad,294,3e7a01fd-383d-496d-b2d2-73e2d499f25a,79,1500,2026-05-02 07:04:36.116+00
0c5cb5b3-5c85-4e06-8f36-a6d965fe7fa1,305,3e7a01fd-383d-496d-b2d2-73e2d499f25a,90,1410,2026-05-02 07:07:57.355+00
0c61d098-ef37-48f3-8f78-143b85c01ec4,85,1d5f21f0-4306-46e8-ace6-161e4a180c40,62,1480,2026-04-27 07:01:52.145+00
0cc2f9e9-6211-4e19-9cbc-c6d516e79698,326,3e7a01fd-383d-496d-b2d2-73e2d499f25a,111,1370,2026-05-02 07:12:48.3+00
0d27b42c-15db-4f16-ac14-df29690a8647,130,1d5f21f0-4306-46e8-ace6-161e4a180c40,107,1240,2026-04-27 07:11:09.168+00
0d8c6965-94c7-4af1-b370-f801c77c14af,483,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,76,1405,2026-05-10 07:04:43.473+00
