id,local_id,session_id,id_ayam,berat,created_at
8f33df2c-5d09-4195-b0e2-dbfe4af3d7be,276,3e7a01fd-383d-496d-b2d2-73e2d499f25a,61,1500,2026-05-02 06:59:10.748+00
8f3d4e5c-711f-4b52-80c1-9ade19fa5178,106,1d5f21f0-4306-46e8-ace6-161e4a180c40,83,1410,2026-04-27 07:06:36.969+00
8f567d79-ad6e-4c01-9e2d-d462ac7ad7a9,240,3e7a01fd-383d-496d-b2d2-73e2d499f25a,25,1485,2026-05-02 06:51:07.717+00
8ff8194f-e35b-4f95-99a4-0fe60743ef2d,591,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,184,1640,2026-05-10 07:26:08.46+00
8ff967c8-2da4-4b7b-ae9a-cd5893c6e85f,177,1d5f21f0-4306-46e8-ace6-161e4a180c40,154,1435,2026-04-27 07:19:23.329+00
9017e811-cee2-43da-a0da-eb74f19bcd8f,496,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,89,1350,2026-05-10 07:07:46.773+00
9064d055-169a-4240-b69b-646ccaf66fa6,214,1d5f21f0-4306-46e8-ace6-161e4a180c40,191,1465,2026-04-27 07:27:58.509+00
909b37fb-fe6f-41fe-b154-06521f629ab0,216,3e7a01fd-383d-496d-b2d2-73e2d499f25a,1,1515,2026-05-02 06:43:26.546+00
90e06b85-c218-48cc-8b8f-2d000d2e04a7,410,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,3,1565,2026-05-10 06:49:48.668+00
910d8428-7b96-4af8-b5a6-9985452022f8,303,3e7a01fd-383d-496d-b2d2-73e2d499f25a,88,1510,2026-05-02 07:07:21.648+00
91a24583-bb09-4390-9784-2256f3693306,520,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,113,1495,2026-05-10 07:13:43.007+00
9256f833-a128-4bc3-bd38-44719fd87df5,64,1d5f21f0-4306-46e8-ace6-161e4a180c40,41,1295,2026-04-27 06:58:17.059+00
928c91fc-8a90-4da1-8b59-213e86199f7b,50,1d5f21f0-4306-46e8-ace6-161e4a180c40,27,1355,2026-04-27 06:55:41.261+00
9295ecb4-c675-4525-b18f-2543ab343fc2,84,1d5f21f0-4306-46e8-ace6-161e4a180c40,61,1375,2026-04-27 07:01:44.11+00
93189ee2-05f1-4544-93b4-682099089ef8,33,1d5f21f0-4306-46e8-ace6-161e4a180c40,10,1340,2026-04-27 06:51:43.009+00
932f1c37-9615-402e-8772-4f952195e665,188,1d5f21f0-4306-46e8-ace6-161e4a180c40,165,1465,2026-04-27 07:23:17.536+00
93484391-30a8-4529-b008-84dcca4fc099,257,3e7a01fd-383d-496d-b2d2-73e2d499f25a,42,1365,2026-05-02 06:54:37.902+00
936473eb-4ba7-4c95-b208-86e9aa68f2d6,523,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,116,1390,2026-05-10 07:14:06.962+00
939ce83b-76dc-4672-963e-e7db16c2a5fd,157,1d5f21f0-4306-46e8-ace6-161e4a180c40,134,1280,2026-04-27 07:15:59.818+00
946a247e-f9f6-4587-89fa-6e493b0bd461,556,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,149,1395,2026-05-10 07:19:53.216+00
947aac3c-4c4e-419a-8eca-d7daf0ca92cc,589,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,182,1415,2026-05-10 07:25:39.81+00
953839b2-3a7f-408d-bcd6-be0c5298a07b,488,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,81,1455,2026-05-10 07:06:09.853+00
961c7e4c-9ce5-4eae-bc1f-f70247adb3f5,109,1d5f21f0-4306-46e8-ace6-161e4a180c40,86,1450,2026-04-27 07:07:05.277+00
96869de3-23b1-4ace-b84c-31b21bc705fb,526,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,119,1610,2026-05-10 07:14:32.516+00
96da0b0a-fa5b-4c49-98f6-3e44fd453dbd,243,3e7a01fd-383d-496d-b2d2-73e2d499f25a,28,1400,2026-05-02 06:51:29.306+00
970ce99a-167b-4b11-ac90-537809e82df0,182,1d5f21f0-4306-46e8-ace6-161e4a180c40,159,1425,2026-04-27 07:20:11.832+00
9859cecd-3712-4de9-b3c0-f53362625a14,371,3e7a01fd-383d-496d-b2d2-73e2d499f25a,156,1405,2026-05-02 07:23:24.091+00
98801b7d-3029-4d3f-96cb-9bef435fb4d1,335,3e7a01fd-383d-496d-b2d2-73e2d499f25a,120,1360,2026-05-02 07:14:47.044+00
988e5987-99f9-493f-a5c5-d41d399e6e7e,509,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,102,1395,2026-05-10 07:10:33.337+00
990a2ab5-bbd4-4220-b521-e7b53ed44991,262,3e7a01fd-383d-496d-b2d2-73e2d499f25a,47,1485,2026-05-02 06:55:33.714+00
9ada537f-c461-479d-a237-b4671c85d05d,253,3e7a01fd-383d-496d-b2d2-73e2d499f25a,38,1395,2026-05-02 06:53:52.955+00
9b874356-3ba5-4110-9063-e660081da665,540,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,133,1565,2026-05-10 07:17:04.421+00
9c84818e-2ae8-43b0-a350-a388dd173691,205,1d5f21f0-4306-46e8-ace6-161e4a180c40,182,1365,2026-04-27 07:26:35.671+00
9c8c3c46-796b-4733-be8d-9a6065271499,338,3e7a01fd-383d-496d-b2d2-73e2d499f25a,123,1600,2026-05-02 07:15:31.373+00
9ca79c28-c7b7-48e7-8039-fadffa29d436,220,3e7a01fd-383d-496d-b2d2-73e2d499f25a,5,1350,2026-05-02 06:44:43.899+00
9cff1abf-bf22-4485-a11d-2e3aecd50ea7,542,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,135,1545,2026-05-10 07:17:18.68+00
9d566c2d-3938-43c6-81cd-53c8df2ba23b,457,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,50,1560,2026-05-10 07:00:16.888+00
9d80b247-4c31-41b1-b16d-85124333d7db,470,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,63,1490,2026-05-10 07:02:12.675+00
9dcc4772-3a6e-4fb6-a606-b0938321b2c0,45,1d5f21f0-4306-46e8-ace6-161e4a180c40,22,1305,2026-04-27 06:54:12.207+00
9dccc85d-9141-4530-93f8-9443369d57b3,562,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,155,1420,2026-05-10 07:20:45.928+00
9e250f39-a2d4-4227-91b5-164f6464d07f,349,3e7a01fd-383d-496d-b2d2-73e2d499f25a,134,1465,2026-05-02 07:18:16.704+00
9e33f58a-00c8-44cd-ba9c-5df9bbab32d8,409,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,2,1730,2026-05-10 06:49:35.871+00
9e83a1df-3291-468d-bacf-6aa501586985,263,3e7a01fd-383d-496d-b2d2-73e2d499f25a,48,1465,2026-05-02 06:55:39.344+00
9e961091-15f4-4ea0-88fe-7d6acb916437,333,3e7a01fd-383d-496d-b2d2-73e2d499f25a,118,1380,2026-05-02 07:14:28.37+00
9ef5ee33-3f81-4204-8890-d5ba9c9dbaaa,164,1d5f21f0-4306-46e8-ace6-161e4a180c40,141,1350,2026-04-27 07:17:01.33+00
9efc85bc-9752-4cf7-9681-96b695647d68,419,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,12,1300,2026-05-10 06:51:17.587+00
9f43b6c8-f40e-4e46-bad3-88df7aa7d317,346,3e7a01fd-383d-496d-b2d2-73e2d499f25a,131,1425,2026-05-02 07:17:45.509+00
9f9507a6-aeb3-4453-8ae0-e62e8e1287c6,41,1d5f21f0-4306-46e8-ace6-161e4a180c40,18,1340,2026-04-27 06:53:32.393+00
9fcdcb3a-2714-40cf-898d-8ac82727757e,339,3e7a01fd-383d-496d-b2d2-73e2d499f25a,124,1365,2026-05-02 07:15:43.188+00
9fddab4c-95c9-4b7a-a05a-3f698516c51f,456,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,49,1330,2026-05-10 07:00:09.413+00
a03d0e93-3b01-454c-b4d1-34fe0c31f21f,491,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,84,1460,2026-05-10 07:06:55.651+00
a0485917-5b75-46a1-b300-3a0399160b93,393,3e7a01fd-383d-496d-b2d2-73e2d499f25a,178,1610,2026-05-02 07:28:59.382+00
a08a6af6-9c8f-4c49-be74-bc23bf574a12,368,3e7a01fd-383d-496d-b2d2-73e2d499f25a,153,1365,2026-05-02 07:22:56.037+00
a12c72c1-315a-4a89-aa99-9723662fbffe,198,1d5f21f0-4306-46e8-ace6-161e4a180c40,175,1410,2026-04-27 07:24:49.415+00
a136d9dd-57b2-4ab6-8260-60aeeba7e1c3,81,1d5f21f0-4306-46e8-ace6-161e4a180c40,58,1450,2026-04-27 07:01:16.427+00
a1b6d6d2-0941-49da-96af-0921a061a94f,308,3e7a01fd-383d-496d-b2d2-73e2d499f25a,93,1395,2026-05-02 07:08:41.108+00
a215527b-b79a-4a27-9a89-5ed6e2e83445,136,1d5f21f0-4306-46e8-ace6-161e4a180c40,113,1365,2026-04-27 07:12:28.37+00
a217ca97-eb68-489d-b3a0-d62dbd330fe4,234,3e7a01fd-383d-496d-b2d2-73e2d499f25a,19,1420,2026-05-02 06:49:50.117+00
a31b4f6f-cd7b-49cf-a4f7-ac0aee876e57,286,3e7a01fd-383d-496d-b2d2-73e2d499f25a,71,1300,2026-05-02 07:02:44.521+00
a326a48a-a150-4e38-99fe-f8ed3af68767,73,1d5f21f0-4306-46e8-ace6-161e4a180c40,50,1475,2026-04-27 07:00:01.087+00
a36a32bc-101f-4b07-a667-8a4d72bdca3e,505,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,98,1545,2026-05-10 07:09:41.891+00
a3cdf063-37a7-4da0-a324-54f4dc1e1c4a,25,1d5f21f0-4306-46e8-ace6-161e4a180c40,2,1515,2026-04-27 06:50:26.757+00
a3de0f9e-1330-487e-95be-90b5f2825a39,229,3e7a01fd-383d-496d-b2d2-73e2d499f25a,14,1580,2026-05-02 06:48:12.944+00
a6d9a417-ddf8-4bf5-908a-768f2566d61a,402,3e7a01fd-383d-496d-b2d2-73e2d499f25a,187,1335,2026-05-02 07:30:33.834+00
a6ef00f8-a95e-4213-88b6-eb2e9c49ffe7,148,1d5f21f0-4306-46e8-ace6-161e4a180c40,125,1240,2026-04-27 07:14:19.792+00
a926ea60-537b-448f-8411-d0e7d8302df2,595,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,188,1480,2026-05-10 07:26:48.442+00
a9721c07-1f2f-4974-8e6f-854a1fce3f8c,265,3e7a01fd-383d-496d-b2d2-73e2d499f25a,50,1555,2026-05-02 06:56:50.167+00
aa002cd9-10a1-428a-b4d4-701ada6a5665,105,1d5f21f0-4306-46e8-ace6-161e4a180c40,82,1395,2026-04-27 07:06:11.688+00
aa394f82-7bbe-49e0-9594-62bc56a8e51f,302,3e7a01fd-383d-496d-b2d2-73e2d499f25a,87,1405,2026-05-02 07:07:16.857+00
ab24a40a-81c0-4e49-90a9-2e5504df3156,388,3e7a01fd-383d-496d-b2d2-73e2d499f25a,173,1460,2026-05-02 07:27:35.012+00
ab7a9341-faad-46dd-b546-bd508ef197df,149,1d5f21f0-4306-46e8-ace6-161e4a180c40,126,1410,2026-04-27 07:14:28.209+00
aba4b391-fe9f-41cc-979d-8fc3aedd9d77,580,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,173,1380,2026-05-10 07:23:43.411+00
ac1277ab-b4c8-41ff-bc9a-f6f2aa05c313,185,1d5f21f0-4306-46e8-ace6-161e4a180c40,162,1275,2026-04-27 07:22:47.228+00
ac8f9ec3-0d86-444f-b1d6-aca06b15bd39,298,3e7a01fd-383d-496d-b2d2-73e2d499f25a,83,1480,2026-05-02 07:06:28.61+00
ad938b47-a011-4cf9-b5e8-55215ae7d0f6,221,3e7a01fd-383d-496d-b2d2-73e2d499f25a,6,1280,2026-05-02 06:45:08.402+00
ae720e6a-e099-4f9e-abf4-db36744d27c5,458,d4aa3b25-0b91-4ff9-93a4-b565184a5c13,51,1465,2026-05-10 07:00:25.633+00
afce92db-fc32-488a-85f1-c33e1870b88a,314,3e7a01fd-383d-496d-b2d2-73e2d499f25a,99,1450,2026-05-02 07:10:18.01+00
b002ed18-c984-44a2-9c18-a65faf4fe6e5,114,1d5f21f0-4306-46e8-ace6-161e4a180c40,91,1260,2026-04-27 07:07:44.428+00
b0b1e3f7-846d-4ca5-bc02-a851e75b4414,401,3e7a01fd-383d-496d-b2d2-73e2d499f25a,186,1440,2026-05-02 07:30:26.171+00
b0b32683-5d6a-4d68-9bea-3d746b50b4fc,115,1d5f21f0-4306-46e8-ace6-161e4a180c40,92,1325,2026-04-27 07:07:55.844+00
