id,local_id,kandang,umur_mg,created_at,created_by,synced
1d5f21f0-4306-46e8-ace6-161e4a180c40,7,TF,14,2026-04-27 06:49:36.887+00,saiful,true
3e7a01fd-383d-496d-b2d2-73e2d499f25a,8,TF,15,2026-05-02 06:42:53.697+00,saiful,true
d4aa3b25-0b91-4ff9-93a4-b565184a5c13,9,TF,16,2026-05-10 06:48:57.121+00,saiful,true
